Municipio,historico_total,historico_12m,previsao_12m,previsao_24m,previsao_48m,tendencia
Americana,247,1,20,41,83,estável
Amparo,178,14,16,32,64,crescente
Analândia,271,2,22,45,91,estável
Araçoiaba Da Serra,90,18,7,15,30,decrescente
Araraquara,172,1,14,29,58,estável
Araras,261,0,22,44,88,estável
Artur Nogueira,150,1,1,2,4,estável
Atibaia,146,0,12,24,49,estável
Barretos,71,2,6,12,24,estável
Bom Jesus Dos Perdões,186,31,15,31,62,crescente
Brotas,169,13,12,24,50,decrescente
Campinas,83,0,7,14,28,estável
Capivari,342,70,148,296,592,crescente
Catanduva,70,14,5,11,23,decrescente
Cerquilho,52,8,8,16,31,crescente
Cordeirópolis,138,0,11,23,46,estável
Corumbataí,129,0,10,21,43,estável
Cosmópolis,110,1,9,18,37,estável
Dois Córregos,180,0,15,30,61,estável
Engenheiro Coelho,171,45,0,0,0,crescente
Guaíra,0,0,0,0,0,estável
Holambra,119,19,19,39,78,crescente
Ibaté,219,1,9,19,45,estável
Indaiatuba,140,5,11,23,47,estável
Ipeúna,216,59,19,39,77,estável
Iracemápolis,240,2,20,40,81,estável
Itapira,47,0,3,7,15,estável
Itirapina,152,0,12,25,51,estável
Itu,208,34,17,35,70,decrescente
Jaboticabal,129,2,10,21,43,estável
Jaguariúna,211,9,17,35,71,decrescente
Jumirim,34,1,2,5,11,estável
Jundiaí,158,2,13,26,53,estável
Leme,83,4,4,8,15,estável
Limeira,38,4,4,8,16,estável
Lindoia,0,0,0,0,0,estável
Louveira,239,0,20,40,80,estável
Luiz Antônio,8,1,0,1,2,estável
Macaubal,1,1,0,0,0,estável
Matão,0,0,0,0,0,estável
Mogi Das Cruzes,38,14,3,6,12,crescente
Mogi Guaçu,276,64,18,37,79,decrescente
Mogi Mirim,102,0,8,17,34,estável
Monte Alegre Do Sul,279,0,23,47,94,estável
Nova Odessa,65,10,4,9,19,crescente
Olímpia,46,23,3,7,15,crescente
Orlândia,146,11,10,20,40,estável
Paraibuna,115,1,5,12,28,estável
Pedreira,434,73,73,146,292,decrescente
Piracicaba,246,27,20,41,83,decrescente
Pirassununga,100,2,2,4,8,estável
Porto Feliz,129,2,10,21,43,estável
Rafard,183,12,12,24,48,crescente
Ribeirão Preto,473,62,62,124,248,crescente
Rio Claro,199,7,16,33,67,decrescente
Rio Das Pedras,299,38,18,37,79,crescente
Saltinho,61,0,5,10,20,estável
Salto,313,2,26,52,105,estável
Santa Bárbara D'Oeste,205,0,17,34,69,estável
Santa Cruz Das Palmeiras,5,1,0,0,1,estável
Santa Rita Do Passa Quatro,72,0,6,12,24,estável
Santo Antônio De Posse,133,16,16,32,64,crescente
São Carlos,278,41,41,82,164,decrescente
São José do Rio Pardo,90,36,36,72,145,crescente
São José do Rio Preto ,72,0,6,12,24,estável
São Pedro,215,3,0,0,0,estável
São Simão,0,0,0,0,0,estável
Serrana,96,24,8,16,32,crescente
Sertãozinho,98,1,8,16,33,estável
Sorocaba,287,14,28,57,110,crescente
Sumaré,188,15,15,31,63,decrescente
Tambaú,67,0,5,11,22,estável
Tietê,285,21,28,55,107,crescente
Valinhos,138,2,20,38,71,estável
Vinhedo,239,42,23,46,90,crescente
Votorantim,45,9,9,18,36,crescente
